province,district,locality,jurisdiction,stationName,centerName,stationAddress,latitude,longitude
서울특별시,강남구,개포동,강남소방서,강남소방서,개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동),,
서울특별시,강남구,삼성동,강남소방서,강남소방서,삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동),,
서울특별시,강남구,율현동,강남소방서,강남소방서,세곡119안전센터,서울특별시 강남구 밤고개로 268 (율현동),,
서울특별시,강남구,수서동,강남소방서,강남소방서,수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동),,
서울특별시,강남구,역삼동,강남소방서,강남소방서,역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동),,
서울특별시,강남구,논현동,강남소방서,강남소방서,영동119안전센터,서울특별시 강남구 도산대로 320 (논현동),,
서울특별시,강동구,상일동,강동소방서,강동소방서,강일119안전센터,서울특별시 강동구 고덕로98길 22 (상일동),,
서울특별시,강동구,고덕동,강동소방서,강동소방서,고덕119안전센터,서울특별시 강동구 양재대로156길 133 (고덕동),,
서울특별시,강동구,길동,강동소방서,강동소방서,길동119안전센터,서울특별시 강동구 천중로 215 (길동),,
서울특별시,강동구,성내동,강동소방서,강동소방서,성내119안전센터,서울특별시 강동구 성내로 39 (성내동),,
서울특별시,강동구,암사동,강동소방서,강동소방서,암사119안전센터,서울특별시 강동구 올림픽로 815 (암사동),,
서울특별시,강동구,천호동,강동소방서,강동소방서,천호119안전센터,서울특별시 강동구 진황도로 37 (천호동),,
서울특별시,강북구,미아동,강북소방서,강북소방서,미아119안전센터,서울특별시 강북구 도봉로 125 (미아동),,
서울특별시,강북구,번동,강북소방서,강북소방서,번동119안전센터,서울특별시 강북구 한천로 911 (번동),,
서울특별시,강북구,미아동,강북소방서,강북소방서,삼각산119안전센터,서울특별시 강북구 솔샘로 208 (미아동),,
서울특별시,강북구,수유동,강북소방서,강북소방서,우이119안전센터,서울특별시 강북구 삼각산로 111 (수유동),,
서울특별시,강서구,개화동,강서소방서,강서소방서,개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동),,
서울특별시,강서구,등촌동,강서소방서,강서소방서,등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동),,
서울특별시,강서구,마곡동,강서소방서,강서소방서,마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동),,
서울특별시,강서구,내발산동,강서소방서,강서소방서,발산119안전센터,서울특별시 강서구 강서로 329 (내발산동),,
서울특별시,강서구,방화동,강서소방서,강서소방서,방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동),,
서울특별시,강서구,화곡동,강서소방서,강서소방서,화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동),,
서울특별시,관악구,봉천동,관악소방서,관악소방서,관악119안전센터,서울특별시 관악구 관악로 97 (봉천동),,
서울특별시,관악구,신림동,관악소방서,관악소방서,난곡119안전센터,서울특별시 관악구 난곡로 243 (신림동),,
서울특별시,관악구,봉천동,관악소방서,관악소방서,봉천119안전센터,서울특별시 관악구 은천로 54 (봉천동),,
서울특별시,관악구,신림동,관악소방서,관악소방서,신림119안전센터,서울특별시 관악구 봉천로 202 (신림동),,
서울특별시,광진구,구의동,광진소방서,광진소방서,구의119안전센터,서울특별시 광진구 광나루로 480 (구의동),,
서울특별시,광진구,능동,광진소방서,광진소방서,능동119안전센터,서울특별시 광진구 능동로 242 (능동),,
서울특별시,광진구,중곡동,광진소방서,광진소방서,중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동),,
서울특별시,구로구,고척동,구로소방서,구로소방서,고일119안전센터,서울특별시 구로구 경인로 408 (고척동),,
서울특별시,구로구,고척동,구로소방서,구로소방서,고척119안전센터,서울특별시 구로구 고척로 195 (고척동),,
서울특별시,구로구,구로동,구로소방서,구로소방서,공단119안전센터,서울특별시 구로구 디지털로34길 56 (구로동),,
서울특별시,구로구,구로동,구로소방서,구로소방서,구로119안전센터,서울특별시 구로구 구로동로 175 (구로동),,
서울특별시,구로구,궁동,구로소방서,구로소방서,수궁119안전센터,서울특별시 구로구 오리로 1285 (궁동),,
서울특별시,구로구,신도림동,구로소방서,구로소방서,신도림119안전센터,서울특별시 구로구 경인로59길 57 (신도림동),,
서울특별시,금천구,독산동,금천소방서,금천소방서,금천119안전센터,서울특별시 금천구 시흥대로 342(독산동),,
서울특별시,금천구,시흥동,금천소방서,금천소방서,시흥119안전센터,서울특별시 금천구 시흥대로 45길 31(시흥동),,
서울특별시,노원구,공릉동,노원소방서,노원소방서,공릉119안전센터,서울특별시 노원구 화랑로 482 (공릉동),,
서울특별시,노원구,상계동,노원소방서,노원소방서,상계119안전센터,서울특별시 노원구 노원로26길 111 (상계동),,
서울특별시,노원구,상계동,노원소방서,노원소방서,수락119안전센터,서울특별시 노원구 동일로 1694 (상계동),,
서울특별시,노원구,월계동,노원소방서,노원소방서,월계119안전센터,서울특별시 노원구 월계로 323 (월계동),,
서울특별시,노원구,하계동,노원소방서,노원소방서,하계119안전센터,서울특별시 노원구 한글비석로 1길 8 (하계동),,
서울특별시,도봉구,도봉동,도봉소방서,도봉소방서,도봉119안전센터,서울특별시 도봉구 노해로 152 (도봉동),,
서울특별시,도봉구,방학동,도봉소방서,도봉소방서,방학119안전센터,서울특별시 도봉구 도봉로 666 (방학동),,
서울특별시,도봉구,쌍문동,도봉소방서,도봉소방서,쌍문119안전센터,서울특별시 도봉구 노해로 152 (쌍문동),,
서울특별시,도봉구,창동,도봉소방서,도봉소방서,창동119안전센터,서울특별시 도봉구 해등로 25 (창동),,
서울특별시,동대문구,용두동,동대문소방서,동대문소방서,용두119안전센터,서울특별시 동대문구 왕산로 76 (용두동),,
서울특별시,동대문구,장안동,동대문소방서,동대문소방서,장안119안전센터,서울특별시 동대문구 장한로 34 (장안동),,
서울특별시,동대문구,전농동,동대문소방서,동대문소방서,전농119안전센터,서울특별시 동대문구 황물로 3 (전농동),,
서울특별시,동대문구,청량리동,동대문소방서,동대문소방서,청량리119안전센터,서울특별시 동대문구 왕산로 299 (청량리동),,
서울특별시,동대문구,휘경동,동대문소방서,동대문소방서,휘경119안전센터,서울특별시 동대문구 망우로 106 (휘경동),,
서울특별시,동작구,노량진동,동작소방서,동작소방서,노량진119안전센터,서울특별시 동작구 노량진로 187 (노량진동),,
서울특별시,동작구,신대방동,동작소방서,동작소방서,동작119안전센터,서울특별시 동작구 여의대방로16길 55 (신대방동),,
서울특별시,동작구,상도동,동작소방서,동작소방서,백운119안전센터,서울특별시 동작구 사당로 63 (상도동),,
서울특별시,동작구,상도동,동작소방서,동작소방서,상도119안전센터,서울특별시 동작구 국사봉1길 17 (상도동),,
서울특별시,마포구,공덕동,마포소방서,마포소방서,공덕119안전센터,서울특별시 마포구 만리재옛길 82 (공덕동),,
서울특별시,마포구,상암동,마포소방서,마포소방서,상암119안전센터,서울특별시 마포구 월드컵북로 42길 34 (상암동),,
서울특별시,마포구,서교동,마포소방서,마포소방서,서교119안전센터,서울특별시 마포구 양화로 60 (서교동),,
서울특별시,마포구,성산동,마포소방서,마포소방서,성산119안전센터,서울특별시 마포구 월드컵북로 240 (성산동),,
서울특별시,마포구,신수동,마포소방서,마포소방서,신수119안전센터,서울특별시 마포구 창전로 76 (신수동),,
서울특별시,마포구,염리동,마포소방서,마포소방서,염리119안전센터,서울특별시 마포구 토정로 37길 27 (염리동),,
서울특별시,서대문구,북가좌동,서대문소방서,서대문소방서,북가좌119안전센터,서울특별시 서대문구 증가로 242 (북가좌동),,
서울특별시,서대문구,북아현동,서대문소방서,서대문소방서,북아현119안전센터,서울특별시 서대문구 북아현로 37 (북아현동),,
서울특별시,서대문구,연희동,서대문소방서,서대문소방서,연희119안전센터,서울특별시 서대문구 연희로 182 (연희동),,
서울특별시,서대문구,홍은동,서대문소방서,서대문소방서,홍은119안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동),,
서울특별시,서초구,반포동,서초소방서,서초소방서,반포119안전센터,서울특별시 서초구 사평대로 67 (반포동),,
서울특별시,서초구,방배동,서초소방서,서초소방서,방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동),,
서울특별시,서초구,서초동,서초소방서,서초소방서,서초119안전센터,서울특별시 서초구 효령로 400 (서초동),,
서울특별시,서초구,양재동,서초소방서,서초소방서,양재119안전센터,서울특별시 서초구 동산로 9 (양재동),,
서울특별시,서초구,서초동,서초소방서,서초소방서,우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동),,
서울특별시,서초구,반포동,서초소방서,서초소방서,잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),,
서울특별시,성동구,금호동1가,성동소방서,성동소방서,금호119안전센터,서울특별시 성동구 난계로 19 (금호동1가),,
서울특별시,성동구,성수동2가,성동소방서,성동소방서,성수119안전센터,서울특별시 성동구 뚝섬로 452 (성수동2가),,
