시도,소방서,안전센터,지역대,수량
서울,종로소방서,세종로119안전센터,,1
서울,종로소방서,신교119안전센터,,1
서울,종로소방서,종로119안전센터,,1
서울,종로소방서,연건119안전센터,,1
서울,종로소방서,신영119안전센터,,1
서울,종로소방서,숭인119안전센터,,1
서울,중부소방서,무학119안전센터,,1
서울,중부소방서,을지로119안전센터,,1
서울,중부소방서,충무로119안전센터,,1
서울,중부소방서,회현119안전센터,,1
서울,중부소방서,신당119안전센터,,1
서울,광진소방서,구의119안전센터,,2
서울,광진소방서,능동119안전센터,,2
서울,광진소방서,중곡119안전센터,,1
서울,용산소방서,한강로119안전센터,,1
서울,용산소방서,이태원119안전센터,,1
서울,용산소방서,후암119안전센터,,1
서울,용산소방서,이촌119안전센터,,1
서울,용산소방서,서빙고119안전센터,,1
서울,동대문소방서,장안119안전센터,,2
서울,동대문소방서,청량리119안전센터,,1
서울,동대문소방서,전농119안전센터,,1
서울,동대문소방서,용두119안전센터,,1
서울,동대문소방서,휘경119안전센터,,1
서울,영등포소방서,영등포119안전센터,,2
서울,영등포소방서,여의도119안전센터,,1
서울,영등포소방서,당산119안전센터,,1
서울,영등포소방서,대림119안전센터,,2
서울,영등포소방서,신길119안전센터,,1
서울,성북소방서,종암119안전센터,,2
서울,성북소방서,돈암119안전센터,,1
서울,성북소방서,길음119안전센터,,2
서울,성북소방서,장위119안전센터,,1
서울,은평소방서,진관119안전센터,,2
서울,은평소방서,녹번119안전센터,,2
서울,은평소방서,역촌119안전센터,,2
서울,은평소방서,수색119안전센터,,1
서울,강남소방서,삼성119안전센터,,2
서울,강남소방서,영동119안전센터,,2
서울,강남소방서,역삼119안전센터,,2
서울,강남소방서,수서119안전센터,,1
서울,강남소방서,개포119안전센터,,1
서울,강남소방서,세곡119안전센터,,1
서울,서초소방서,반포119안전센터,,1
서울,서초소방서,방배119안전센터,,1
서울,서초소방서,양재119안전센터,,1
서울,서초소방서,서초119안전센터,,2
서울,서초소방서,잠원119안전센터,,2
서울,서초소방서,우면119안전센터,,1
서울,강서소방서,등촌119안전센터,,2
서울,강서소방서,화곡119안전센터,,1
서울,강서소방서,발산119안전센터,,2
서울,강서소방서,방화119안전센터,,1
서울,강서소방서,개화119안전센터,,1
서울,강서소방서,마곡119안전센터,,1
서울,강동소방서,성내119안전센터,,1
서울,강동소방서,천호119안전센터,,2
서울,강동소방서,고덕119안전센터,,1
서울,강동소방서,암사119안전센터,,1
서울,강동소방서,길동119안전센터,,1
서울,강동소방서,강일119안전센터,,1
서울,마포소방서,신수119안전센터,,2
서울,마포소방서,염리119안전센터,,1
서울,마포소방서,서교119안전센터,,2
서울,마포소방서,성산119안전센터,,1
서울,마포소방서,공덕119안전센터,,1
서울,마포소방서,상암119안전센터,,1
서울,도봉소방서,방학119안전센터,,2
서울,도봉소방서,도봉119안전센터,,1
서울,도봉소방서,창동119안전센터,,1
서울,도봉소방서,쌍문119안전센터,,1
서울,구로소방서,고일119안전센터,,2
서울,구로소방서,수궁119안전센터,,1
서울,구로소방서,고척119안전센터,,1
서울,구로소방서,구로119안전센터,,1
서울,구로소방서,신도림119안전센터,,1
서울,구로소방서,공단119안전센터,,2
서울,노원소방서,하계119안전센터,,2
서울,노원소방서,상계119안전센터,,2
서울,노원소방서,공릉119안전센터,,1
서울,노원소방서,월계119안전센터,,1
서울,노원소방서,수락119안전센터,,1
서울,관악소방서,관악119안전센터,,2
서울,관악소방서,봉천119안전센터,,2
서울,관악소방서,신림119안전센터,,2
서울,관악소방서,난곡119안전센터,,1
서울,송파소방서,마천119안전센터,,1
서울,송파소방서,거여119안전센터,,1
서울,송파소방서,방이119안전센터,,1
서울,송파소방서,잠실119안전센터,,2
서울,송파소방서,종합운동장119안전센터,,1
서울,송파소방서,가락119안전센터,,2
서울,양천소방서,양천119안전센터,,2
서울,양천소방서,신정119안전센터,,2
서울,양천소방서,목동119안전센터,,1
서울,양천소방서,신월119안전센터,,2
서울,양천소방서,신트리119안전센터,,1
